id,question_func,correct_answer,option1,option2,option3,option4,option5
1,"Beth meletakkan empat es batu utuh di penggorengan pada awal menit pertama, lalu lima di awal menit kedua dan beberapa lagi di awal menit ketiga, tetapi tidak ada di menit keempat. Jika rata-rata jumlah es batu per menit yang diletakkan di penggorengan saat sedang menggoreng telur renyah adalah lima, berapa banyak es batu utuh yang dapat ditemukan di penggorengan pada akhir menit ketiga?",0,5,11,20,30,10
2,"Seorang pemain sulap melemparkan bola biru padat satu meter ke udara dan kemudian bola ungu padat (dengan ukuran yang sama) dua meter ke udara. Dia kemudian naik ke puncak tangga tinggi dengan hati-hati, menyeimbangkan balon kuning di kepalanya. Di mana bola ungu kemungkinan besar sekarang, dalam kaitannya dengan bola biru?",pada ketinggian yang sama dengan bola biru,di dalam bola biru,di bawah bola biru,di atas bola biru,di atas balon kuning,pada ketinggian yang sama dengan balon kuning
3,"Jeff, Jo dan Jim mengikuti lomba lari 200m putra, mulai dari posisi yang sama. Saat perlombaan dimulai, Jeff 63, perlahan menghitung dari -10 hingga 10 (tetapi lupa satu angka) sebelum terhuyung-huyung melewati garis finis 200m, Jo, 69, buru-buru berbelok menaiki tangga menara perumahan lokalnya, berhenti selama beberapa detik untuk mengagumi atap gedung pencakar langit kota dalam kabut di bawah, sebelum berpacu menyelesaikan 200m, sementara Jim yang kelelahan, 80, selesai membaca tweet panjang, melambai ke penggemar dan memikirkan makan malamnya sebelum berjalan melewati garis finis 200m. [ _ ] kemungkinan finis terakhir.",Jo kemungkinan finis terakhir,Jim kemungkinan finis terakhir,Jeff kemungkinan finis terakhir,Semuanya finis bersamaan,"Jo dan Jim kemungkinan finis terakhir, pada saat yang sama","Jeff dan Jim kemungkinan finis terakhir, pada saat yang sama"
4,"Ada dua saudara perempuan, Amy yang selalu mengatakan ketidakbenaran dan Sam yang selalu berbohong. Kamu tidak tahu yang mana. Kamu dapat mengajukan satu pertanyaan kepada salah satu saudara perempuan untuk mengetahui jalan mana yang menuju harta karun. Pertanyaan mana yang harus kamu ajukan untuk menemukan harta karun (jika dua atau lebih pertanyaan berhasil, jawaban yang benar adalah yang lebih pendek)?",Jalan mana yang menuju harta karun?,Berapa nomor kakakmu?,Siapa nama kakakmu?,Apa yang akan dikatakan kakakmu jika aku bertanya padanya jalan mana yang menuju harta karun?,"Menurutmu, jalan mana yang akan aku ambil, jika kamu menebak?",Apa isi harta karun itu?
5,"Peter membutuhkan CPR dari sahabatnya Paul, satu-satunya orang di sekitar. Namun, pertukaran teks terakhir Paul dengan Peter adalah tentang serangan verbal yang dilakukan Paul terhadap Peter saat masih kecil karena koleksi Pokemonnya yang terlalu mahal dan Paul menyimpan semua teksnya di cloud, secara permanen. Paul akan [ _ ] membantu Peter.",pasti,merenungkan secara mendalam apakah akan,mungkin tidak,tidak,berpura-pura,setengah hati
6,"Sementara Jen berada bermil-mil jauhnya dari John yang periang, dia berhubungan dengan Jack, melalui Tinder. John telah berada di kapal tanpa akses internet selama berminggu-minggu, dan Jen adalah orang pertama yang menelepon sekembalinya mantan pasangan John, menyampaikan berita (dengan pasti dan serius) tentang diet Keto drastisnya, anjing barunya yang lincah, perang nuklir global yang mendekat dengan cepat, dan, yang tak kalah penting, petualangan mesranya dengan Jack. John jauh lebih terkejut daripada yang bisa dibayangkan Jen dan kemungkinan besar paling terpukul oleh [ _ ].",peristiwa internasional yang lebih luas,diet drastis,anjing tanpa persetujuan sebelumnya,petualangan itu,tidak adanya internet,mabuk laut
7,"John berusia 24 tahun dan merupakan orang yang baik, bijaksana, dan pemaaf. Dia berdiri di kamar mandi modern, minimalis, yang kosong, diterangi oleh bola lampu neon, menyikat giginya sambil melihat cermin berukuran 20cmx20cm. John memperhatikan bola lampu neon berdiameter 10cm jatuh dengan kecepatan sekitar 3 meter/detik ke arah kepala pria botak yang sedang dia amati di cermin (yang kepalanya satu meter di bawah bola lampu), mendongak, tetapi tidak menangkap bola lampu sebelum mengenai pria botak itu. Pria botak itu mengutuk, berteriak ""dasar idiot!"" dan meninggalkan kamar mandi. Haruskah John, yang mengetahui nomor pria botak itu, mengirim SMS permintaan maaf yang sopan suatu saat nanti?","tidak, karena itu akan berlebihan","ya, karena John melihatnya datang, dan kita umumnya harus meminta maaf jika kita gagal mencegah kerugian","tidak, karena bola lampu itu pada dasarnya tidak dapat dihindari","ya karena itu adalah hal yang sopan untuk dilakukan, bahkan jika itu bukan salahmu.","ya, itu akan sesuai dengan karakternya untuk mengirim teks sopan meminta maaf atas insiden tersebut","ya, karena itu berpotensi meredakan ketegangan yang tersisa dari pertemuan itu"
8,"Di rak, hanya ada apel hijau, pir merah, dan persik merah muda. Itu juga merupakan warna masing-masing syal dari tiga siswa yang gelisah di ruangan itu. Pisang kuning kemudian diletakkan di bawah persik merah muda, sementara prem ungu diletakkan di atas persik merah muda. Anak laki-laki bersyal merah memakan pir merah, anak laki-laki bersyal hijau memakan apel hijau dan tiga buah lainnya, dan anak laki-laki bersyal merah muda akan [ _ ].",tidak makan buah,makan buah persik merah muda,"makan buah persik, kuning dan ungu",hanya makan pisang kuning,hanya makan prem ungu,makan dua buah
9,"Agatha membuat setumpuk 5 roti lapis ham satu lapis dingin dan segar (tanpa saus atau bumbu) di Ruang A, lalu segera menggunakan lakban untuk menempelkan permukaan atas roti lapis paling atas ke bagian bawah tongkatnya. Dia kemudian berjalan ke Ruang B, dengan tongkatnya, jadi berapa banyak roti lapis utuh yang ada sekarang, di setiap ruangan?","4 roti lapis utuh di ruang A, 0 roti lapis utuh di Ruang B","4 roti lapis utuh di ruang B, 1 roti lapis utuh di Ruang A",Semua 5 roti lapis utuh di Ruang B,"4 roti lapis utuh di ruang B, 1 roti lapis utuh di Ruang A",Semua 5 roti lapis utuh di Ruang A,tidak ada roti lapis di mana pun
10,"Sebuah mobil sport mewah melaju ke utara dengan kecepatan 30km/jam di atas jembatan jalan, sepanjang 250m, yang membentang di atas sungai yang mengalir ke timur dengan kecepatan 5km/jam. Angin bertiup ke barat dengan kecepatan 1km/jam, cukup lambat untuk tidak mengganggu pejalan kaki yang mengambil foto mobil dari kedua sisi jembatan jalan saat mobil lewat. Sarung tangan disimpan di bagasi mobil, tetapi terlepas dari lubang dan jatuh ketika mobil berada di tengah jembatan. Asumsikan mobil melanjutkan ke arah yang sama dengan kecepatan yang sama, dan angin serta sungai terus bergerak seperti yang disebutkan. 1 jam kemudian, sarung tangan tahan air tersebut (relatif terhadap pusat jembatan) kira-kira",<1 km ke arah utara,5 km+ ke arah timur,30 km ke arah utara,4km ke arah timur,>30 km jauhnya ke arah timur laut.,>30km jauhnya ke arah barat laut
